央视HD,#genre#
CCTV1HD,http://113.117.74.8:808/hls/138/index.m3u8
CCTV2HD,http://113.117.74.8:808/hls/2/index.m3u8
CCTV3HD,http://113.117.74.8:808/hls/3/index.m3u8
CCTV4HD,http://113.101.124.15:808/hls/4/index.m3u8
CCTV5HD,http://113.117.74.8:808/hls/5/index.m3u8
CCTV6HD,http://113.117.74.8:808/hls/6/index.m3u8
CCTV7HD,http://113.117.74.8:808/hls/7/index.m3u8
CCTV8HD,http://113.117.74.8:808/hls/8/index.m3u8
CCTV9HD,http://113.117.74.8:808/hls/9/index.m3u8
CCTV10HD,http://113.117.74.8:808/hls/10/index.m3u8
CCTV11,http://113.117.74.8:808/hls/11/index.m3u8
CCTV12HD,http://113.117.74.8:808/hls/12/index.m3u8
CCTV13,http://113.117.74.8:808/hls/13/index.m3u8
CCTV14HD,http://119.131.240.116:9090/hls/83/index.m3u8
CCTV15HD,http://113.117.74.8:808/hls/15/index.m3u8
CCTV5+HD,http://113.117.74.8:808/hls/16/index.m3u8
CCTV17HD,http://113.101.124.15:808/hls/109/index.m3u8
揭阳综合,http://113.101.124.15:808/hls/121/index.m3u8
地方,#genre#
揭阳生活,http://113.117.74.8:808/hls/22/index.m3u8
潮州综合,http://113.117.74.8:808/hls/23/index.m3u8
汕头综合,http://113.117.74.8:808/hls/24/index.m3u8
凤凰资讯HD,http://113.117.74.8:808/hls/36/index.m3u8
凤凰中文HD,http://113.117.74.8:808/hls/37/index.m3u8
凤凰香港HD,http://113.117.74.8:808/hls/38/index.m3u8
星空卫视,http://113.117.74.8:808/hls/87/index.m3u8
Channel [V],http://113.117.74.8:808/hls/88/index.m3u8
翡翠台HD,http://113.117.74.8:808/hls/67/index.m3u8
明珠台,http://113.117.74.8:808/hls/26/index.m3u8
TVB星河频道HD,http://113.117.74.8:808/hls/135/index.m3u8
无线财经HD,http://120.84.96.161:808/hls/86/index.m3u8
天映经典频道HD,http://120.84.96.161:808/hls/85/index.m3u8
澳门莲花HD,http://120.84.96.161:808/hls/24/index.m3u8
东森电影台HD,http://120.84.96.161:808/hls/32/index.m3u8
东森洋片台HD,http://120.84.96.161:808/hls/33/index.m3u8
LSTime电影台HD,http://120.84.96.161:808/hls/35/index.m3u8
广东公共HD,http://113.101.124.15:808/hls/18/index.m3u8
广东新闻HD,http://113.101.124.15:808/hls/20/index.m3u8
广东经济HD,http://113.117.74.8:808/hls/66/index.m3u8
广东体育HD,http://113.117.74.8:808/hls/1/index.m3u8
南方卫视,http://119.131.240.116:9090/hls/8/index.m3u8
广东影视,http://119.131.240.116:9090/hls/9/index.m3u8
广东少儿,http://119.131.240.116:9090/hls/11/index.m3u8
珠江频道HD,http://119.131.240.116:9090/hls/72/index.m3u8
广东卫视HD,http://113.117.74.8:808/hls/40/index.m3u8
湖南卫视HD,http://113.117.74.8:808/hls/42/index.m3u8
浙江卫视HD,http://113.117.74.8:808/hls/43/index.m3u8
江苏卫视HD,http://113.117.74.8:808/hls/44/index.m3u8
北京卫视HD,http://113.117.74.8:808/hls/45/index.m3u8
深圳卫视HD,http://113.117.74.8:808/hls/46/index.m3u8
东方卫视HD,http://113.117.74.8:808/hls/47/index.m3u8
天津卫视HD,http://113.117.74.8:808/hls/48/index.m3u8
安徽卫视HD,http://113.117.74.8:808/hls/49/index.m3u8
黑龙江卫视HD,http://113.117.74.8:808/hls/50/index.m3u8
湖北卫视HD,http://113.117.74.8:808/hls/51/index.m3u8
四川卫视HD,http://113.117.74.8:808/hls/52/index.m3u8
贵州卫视HD,http://113.117.74.8:808/hls/53/index.m3u8
辽宁卫视HD,http://113.117.74.8:808/hls/54/index.m3u8
东南卫视HD,http://113.117.74.8:808/hls/55/index.m3u8
上海纪实HD,http://113.117.74.8:808/hls/56/index.m3u8
金鹰纪实HD,http://119.131.240.116:9090/hls/95/index.m3u8
河北卫视HD,http://113.117.74.8:808/hls/57/index.m3u8
江西卫视HD,http://113.101.124.15:808/hls/49/index.m3u8
吉林卫视HD,http://113.101.124.15:808/hls/69/index.m3u8
广西卫视HD,http://113.117.74.8:808/hls/60/index.m3u8
山东教育卫视,http://119.131.240.116:9090/hls/37/index.m3u8
宁夏卫视,http://113.117.74.8:808/hls/73/index.m3u8
山东卫视HD,http://119.131.240.116:9090/hls/91/index.m3u8
重庆卫视HD,http://119.131.240.116:9090/hls/96/index.m3u8
云南卫视,http://113.117.74.8:808/hls/92/index.m3u8
青海卫视,http://113.117.74.8:808/hls/95/index.m3u8
河南卫视,http://113.117.74.8:808/hls/96/index.m3u8
陕西卫视,http://113.117.74.8:808/hls/97/index.m3u8
山西卫视,http://113.117.74.8:808/hls/98/index.m3u8
内蒙古卫视,http://113.117.74.8:808/hls/99/index.m3u8
旅游卫视,http://113.117.74.8:808/hls/100/index.m3u8
甘肃卫视,http://113.117.74.8:808/hls/101/index.m3u8
兵团卫视,http://113.117.74.8:808/hls/102/index.m3u8
西藏卫视,http://113.117.74.8:808/hls/103/index.m3u8
新疆卫视,http://113.117.74.8:808/hls/104/index.m3u8
三沙卫视,http://113.101.124.15:808/hls/79/index.m3u8
中国天气,http://113.117.74.8:808/hls/33/index.m3u8
CHC动作电影,http://113.117.74.8:808/hls/34/index.m3u8
CHC家庭电影,http://113.117.74.8:808/hls/35/index.m3u8
CHC高清电影HD,http://119.131.240.116:9090/hls/110/index.m3u8
IPTV经典电影,http://113.117.74.8:808/hls/61/index.m3u8
DOXTV,http://113.117.74.8:808/hls/62/index.m3u8
IPTV热播剧场,http://113.117.74.8:808/hls/63/index.m3u8
中国教育1台,http://113.117.74.8:808/hls/64/index.m3u8
魅力足球HD,http://113.117.74.8:808/hls/65/index.m3u8
网络棋牌,http://113.117.74.8:808/hls/106/index.m3u8
书画频道,http://113.117.74.8:808/hls/107/index.m3u8
岭南戏曲,http://119.131.240.116:9090/hls/14/index.m3u8
环球奇观,http://113.117.74.8:808/hls/110/index.m3u8
中国教育4台,http://113.117.74.8:808/hls/111/index.m3u8
家庭理财,http://113.117.74.8:808/hls/112/index.m3u8
先锋乒羽,http://113.117.74.8:808/hls/113/index.m3u8
家家购物,http://113.117.74.8:808/hls/114/index.m3u8
新动漫,http://113.117.74.8:808/hls/115/index.m3u8
央视精品,http://113.117.74.8:808/hls/116/index.m3u8
风云音乐,http://113.117.74.8:808/hls/117/index.m3u8
怀旧剧场,http://113.117.74.8:808/hls/118/index.m3u8
风云足球,http://113.117.74.8:808/hls/119/index.m3u8
风云剧场,http://113.117.74.8:808/hls/120/index.m3u8
第一剧场,http://113.117.74.8:808/hls/121/index.m3u8
南方购物,http://113.117.74.8:808/hls/123/index.m3u8
世界地理,http://113.117.74.8:808/hls/124/index.m3u8
老故事,http://113.117.74.8:808/hls/125/index.m3u8
嘉佳卡通,http://119.131.240.116:9090/hls/12/index.m3u8
哈哈炫动,http://113.117.74.8:808/hls/127/index.m3u8
优漫卡通,http://113.117.74.8:808/hls/128/index.m3u8
金鹰卡通,http://113.117.74.8:808/hls/129/index.m3u8
五星体育频道,http://113.117.74.8:808/hls/136/index.m3u8
